Actual_Values,Lower_5%,Upper_5%
7381.37,7366.915249999999,7403.052000000001
6264.3,6162.92325,6199.8817500000005
7911.23,7850.85,7969.01625
7583.61,7484.2565,7553.4805
10319.2,10148.164749999998,10220.85
8346.49,8325.98,8376.41
8433.48,8368.963,8430.891500000002
8059.39,7974.409,7998.97475
9437.26,9256.430999999999,9427.92175
8225.48,8266.055250000001,8384.85
7669.44,7644.62,7734.28
7047.69,7008.344,7071.6905
7701.3,7770.236,7827.6035
8534.82,8336.5185,8443.87
7270.63,7045.98,7143.5112500000005
7258.78,7278.806,7327.42025
5978.45,5957.1235,6007.47
7798.4,7865.968,8097.8115
9392.66,9203.851999999999,9288.16
8157.72,7966.6095000000005,8079.022
7888.31,7879.762749999999,7894.83925
6843.85,6793.08,6825.2654999999995
7331.28,7325.079,7380.73
7178.34,7153.633250000001,7213.086
8176.39,8184.65,8267.71
7920.2,7951.7895,7976.61025
8609.63,8317.483,8461.718499999999
9254.12,9130.812,9162.07
6884.1,6908.85775,6967.187000000001
6877.43,6875.52,6988.11
8639.45,8473.2965,8587.0445
7588.45,7519.5925,7556.305
7646.13,7589.031,7656.3245
6190.92,6093.37975,6107.425499999999
9449.87,9388.4285,9500.03
7857.69,7892.79,7964.58
9407.33,9313.1895,9399.8265
8119.07,8092.9075,8165.57575
8305.23,8139.6205,8200.58
10620.12,10603.96225,10627.1965
8537.06,8333.8395,8485.6595
8723.98,8576.65,8818.53
8391.28,8046.916499999999,8229.8
7174.21,7082.21375,7125.5
9757.8,9651.64,9737.82175
8934.2,8821.991,8878.838
7460.67,7367.985250000001,7419.46
8409.11,8279.43,8377.24
7799.28,7638.30875,7705.26
6584.89,6517.562,6555.3769999999995
8718.35,8640.21925,8716.2375
6220.93,6147.32,6255.65
9522.23,9236.219000000001,9390.13025
6535.66,6494.561000000001,6579.26
6685.0,6598.1865,6650.01
7457.25,7267.03875,7383.38
8336.63,8295.132749999999,8379.9605
6355.99,6311.1315,6350.23
6922.69,6877.714000000001,6928.56
8218.37,8212.942500000001,8334.211
8776.91,8633.59275,8733.785249999999
8505.53,8471.188,8527.72
10005.95,9943.00675,10064.5945
8972.28,8893.98675,8951.69
8652.98,8558.74,8604.548999999999
7441.27,7392.269499999999,7431.844
10280.06,10203.25,10225.0685
6879.48,6873.729,6939.97
7998.98,7952.45,8063.62
6728.66,6628.8875,6694.562
8392.02,8270.863,8385.7805
8511.43,8381.826500000001,8477.18
6653.72,6570.713500000001,6726.81
6758.38,6645.15,6707.5165
8038.8,7945.39225,8069.54625
6182.31,6098.489500000001,6155.9235
7583.19,7574.4545,7700.088500000001
7221.09,7061.91075,7130.48675
5455.91,5426.28,5450.003
8707.48,8510.24,8638.918
9343.94,9236.1835,9319.58
9671.93,9459.413,9573.653
9848.05,9867.4285,9903.86325
6018.14,5970.13,6014.848000000001
6349.36,6301.2415,6414.4
10335.89,10185.0945,10267.903250000001
8814.22,8832.77775,8913.017
7042.6,6989.5,7031.559
7956.13,7967.547500000001,7999.162
11171.52,10773.4815,10900.93
7562.34,7237.805,7537.73375
8335.0,8015.14,8156.61
8259.8,8184.9487500000005,8280.2595
8731.91,8530.0435,8661.134
8959.05,8791.5175,8957.66
8760.42,8823.357250000001,9009.2675
8397.92,8207.151,8316.8515
5762.66,5713.51,5747.394
6615.65,6645.5505,6735.85
7664.94,7610.101000000001,7675.72
7755.94,7668.35825,7763.05
6560.9,6408.888,6529.6224999999995
7787.29,7797.2275,7825.96
7687.45,7694.647,7919.38
7339.48,7223.3435,7291.834
8096.38,8015.47125,8067.794
6146.97,6025.021,6093.94775
6191.8,6119.847000000001,6167.55475
8073.06,7991.40925,8043.65675
7928.29,7838.168500000001,7929.31
6933.01,6849.781,6877.7654999999995
8064.2,7889.7305,7930.857
7215.02,7063.4965,7108.71
11041.32,11024.2985,11062.435
7531.04,7476.6205,7503.6725
7460.19,7433.55,7532.86625
6376.22,6273.08,6364.66825
10255.5,10063.666500000001,10263.85375
9143.71,9079.52,9194.42
6939.23,6961.06,7013.88
9253.5,9127.16,9245.68575
9430.85,9395.9525,9429.383249999999
7855.76,7775.16,7884.744
8335.29,8273.396499999999,8314.5165
7690.37,7473.96475,7567.46
6368.46,6334.62,6367.43675
6447.43,6378.342,6395.08
9907.29,9611.938,9737.233
7619.69,7482.87,7638.07
7024.92,7108.8715,7150.201
7368.3,7033.63,7406.05
7702.28,7581.4965,7670.338
7776.94,7787.6669999999995,7858.84
7957.39,7761.328,7915.28
8431.56,8383.5235,8436.453
9052.15,8974.14075,9021.69625
6466.63,6361.375,6407.965
7581.65,7583.24625,7645.67
6041.23,6044.26,6092.91
7209.8,7200.28275,7254.0785000000005
7000.28,6830.92,6986.19
7181.96,7129.72975,7180.1
9007.61,8973.72075,9005.708
9803.38,9750.93,9861.166
8585.09,8496.03,8637.009
8563.36,8525.96,8579.2055
6409.07,6261.01,6327.2425
9998.81,10020.01525,10127.66
10803.92,10637.03,10767.732
7489.85,7286.25,7413.4145
8184.86,8154.64175,8237.15
8991.07,8850.85,8938.6015
7220.53,7110.685,7214.322
8605.28,8558.14,8607.428
10129.31,9757.35,10081.9715
8957.41,8834.85,9002.77175
6872.34,6825.6404999999995,6919.15725
7604.36,7581.52,7603.4855
5875.93,5667.95,5780.7845
7487.01,7318.99,7501.7699999999995
7068.04,6966.53,7055.801
8208.66,8116.443499999999,8188.1845
9583.61,9600.84,9707.470500000001
9579.5,9475.221249999999,9515.787
7288.94,7244.7495,7306.79
8569.99,8488.144,8553.52
6300.4,6348.905,6379.141
9907.17,9839.13,10071.3045
7148.73,7015.427000000001,7080.977
6628.4,6531.9225,6598.59
8887.76,8636.6,8755.048499999999
7390.39,7346.083,7367.48125
11070.75,10890.49,11190.406
8847.71,8581.504500000001,8657.15
6054.59,6034.30375,6091.07
9268.1,9203.697,9264.13925
6092.7,5958.927500000001,6102.89
6369.16,6172.0605000000005,6294.95
8464.5,8351.425000000001,8377.2275
7281.16,7365.7355,7402.1895
8123.17,8069.528,8099.30625
6664.13,6534.9,6575.21
6131.9,6045.53,6120.97
8002.26,8039.39,8097.47
5833.65,5810.158,5888.9225
7617.22,7559.72225,7643.8805
8828.62,8695.405,8776.02
6459.7,6433.139999999999,6482.55725
5522.35,5517.2535,5606.668750000001
11281.26,11163.219000000001,11271.023
7542.42,7453.6762499999995,7486.7135
6375.66,6134.378,6233.60625
10343.93,10163.6445,10406.42
9903.55,9884.959,9933.9745
8618.93,8443.62,8616.397500000001
8278.49,8130.15175,8188.155
8025.32,7981.54,8036.5155
8438.18,8369.48525,8475.925500000001
7521.71,7361.8255,7504.48
6287.0,6261.5,6428.62
8274.11,8254.7935,8340.073
8875.63,8755.43425,8860.62
6423.22,6375.669,6481.24775
6773.63,6612.932,6731.23
8233.28,8275.6795,8402.61025
