,prediction,target
222,9197.148719182158,9288.57
223,9646.460804877868,9580.67
224,9784.881419878773,9826.16
225,10026.03542014163,10070.55
226,10265.380335489675,10226.72
227,10284.075548536013,10137.08
228,10140.231668328131,10008.15
229,9856.016264456994,9769.73
230,9613.675588801396,9661.56
231,9546.480853243003,9368.56
232,9159.019292111332,9062.38
233,8794.10494313008,8731.08
234,8501.161433738782,8381.84
235,8201.694717737144,8194.95
236,7975.804107883344,7933.95
237,7790.188827078673,7854.26
238,7671.730065693831,7622.13
239,7518.495550734203,7423.69
240,7262.325454540418,7276.97
241,7098.062504373681,7089.35
242,6883.021987016295,6844.0
243,6573.00078145109,6554.86
244,6350.118670702314,6353.7
245,6218.261321258534,6210.87
246,6145.299232854511,6134.9
247,6097.085771650101,6086.01
248,6140.575893644297,6118.67
249,6242.827355007541,6189.78
250,6374.550593915389,6252.3
251,6488.0040252236795,6398.14
252,6611.405604924759,6546.92
253,6778.066849410875,6740.49
254,6923.854002677304,6867.75
255,7029.339837070709,6967.74
256,7039.5633327148535,7010.97
257,7030.3942618349065,7063.69
258,7043.016869713665,7033.84
259,6986.827896847483,7003.88
260,6968.361606356727,6949.76
261,6898.042869165887,6889.64
262,6889.748464202399,6941.63
263,6942.626206792327,6872.03
264,6830.719244695557,6868.07
265,6859.719654969989,6799.36
266,6775.72540371678,6796.87
267,6779.564338973953,6809.21
268,6841.468971461862,6834.02
269,6939.585920172238,6812.99
270,6900.444501740542,6934.38
271,7090.94026249653,7125.48
272,7353.868409897212,7405.29
273,7680.408424431959,7590.43
274,7762.976256543843,7847.49
275,8061.322641474264,7988.74
276,8213.651642824767,8045.09
277,8064.759475265515,8088.67
278,8044.746108445607,8131.27
279,8003.293085125745,7923.02
280,7737.429165546163,7670.83
281,7496.643038538844,7495.91
282,7371.416405704138,7324.36
283,7251.580005649398,7297.76
284,7195.683197596885,7145.38
285,7041.9356872657,7186.08
286,7115.527611223682,6999.63
287,6914.502769302138,6811.12
288,6684.5181327530045,6715.46
289,6539.810395031893,6572.23
290,6414.069199278572,6422.17
291,6219.639222099561,6174.29
292,6034.611839388752,5994.56
293,5880.233420815296,5897.44
294,5840.831095904015,5823.92
295,5791.755717714328,5852.64
296,5871.907012809243,5804.99
297,5878.7318531491655,5840.7
298,5918.494016816653,5894.47
299,6000.100845476376,6021.46
300,6147.291005708674,6157.85
301,6302.122302745349,6272.51
302,6426.761816906541,6402.79
303,6549.509513331783,6513.82
304,6602.558387760877,6564.91
305,6634.234896988894,6613.54
306,6624.993377939375,6586.11
307,6550.757578422841,6534.39
308,6527.398723105331,6382.01
309,6329.980260711825,6363.78
310,6367.379765131383,6294.57
311,6290.719078422302,6348.29
312,6404.3558197207185,6350.05
313,6359.648836866607,6342.69
314,6361.606246944955,6468.55
315,6592.055158043793,6584.32
316,6660.895692080295,6679.31
317,6786.296140795249,6783.8
318,6976.471885686935,7114.21
319,7377.981470726449,7335.32
320,7618.814244966981,7577.11
321,7815.1072779610095,7773.69
322,8010.3735853014205,8049.95
323,8310.852730401542,8205.71
324,8301.2209553668,8287.98
325,8313.72125311567,8276.49
326,8228.366693000264,8189.79
327,8036.353588644142,7942.21
328,7768.787911150455,7762.57
329,7566.965005542782,7472.54
330,7318.14957598368,7314.3
331,7223.137632299753,7265.82
332,7181.949011529865,7157.12
333,7068.871866427311,7108.5
334,7009.979332889747,6911.28
335,6826.805561036684,6761.91
336,6643.849551948167,6679.13
337,6527.210021304403,6522.16
338,6354.712589893989,6381.39
339,6181.373717126704,6133.03
340,5995.726719130634,6001.47
341,5919.219374585032,5892.77
342,5839.024198417242,5874.68
343,5842.359975023686,5919.79
344,5945.798812808536,5974.83
345,6146.39672479693,6163.47
346,6314.681170320275,6397.11
347,6728.033889885402,6876.23
348,7189.07519567017,7287.2
349,7602.876906400241,7618.15
350,7858.518888898786,7894.01
351,7995.774088857057,7902.6
352,7833.7065203009615,7843.81
353,7780.234610622628,7759.63
354,7649.804259237846,7616.98
355,7522.450824537048,7513.45
356,7471.8618516686565,7539.28
357,7543.774846528831,7547.2
358,7532.5999769112805,7460.91
359,7405.986689848686,7521.75
360,7510.509476552678,7493.14
361,7474.367107022375,7420.57
362,7368.265459214125,7369.99
363,7348.641349518696,7366.8
364,7369.609718036948,7362.88
365,7373.066745458599,7447.48
366,7503.219762855971,7479.13
367,7601.580801952177,7604.94
368,7749.646080685505,7707.81
369,7865.137662482939,7895.98
370,8111.12828667012,8064.01
371,8212.926622427834,8126.52
372,8200.4430454141,8224.17
373,8220.755874893137,8182.52
374,8148.391316265354,8122.59
375,7988.553639624351,7901.14
376,7728.365931451369,7690.86
377,7512.203183103631,7470.32
378,7303.779723574881,7275.07
379,7238.098434997056,7270.66
